# Store POS truncations -> full word. One rule per line: <truncation><TAB><Expansion>.
# Generated from corpus frequency analysis, filtered against a 53k Croatian wordlist
# (real words never expanded) and vetted for brand/context false positives.
# Only expansions where the truncation is NOT a valid standalone word.
mortad	Mortadela
mous	Mousse
mozz	Mozzarella
mozzar	Mozzarella
mozzarel	Mozzarella
mrež	Mrežica
mreži	Mrežica
mrkv	Mrkva
mrvic	Mrvice
mues	Muesli
mult	Multivitamin
multiv	Multivitamin
multivit	Multivitamin
multivita	Multivitamin
muška	Muškat
nadal	Nadalina
nadali	Nadalina
nadalin	Nadalina
nadj	Nadjev
nalj	Naljepnice
naljep	Naljepnice
napit	Napitak
napoli	Napolitanke
napolit	Napolitanke
nara	Naranča
naranč	Naranča
nare	Narezak
narez	Narezak
natu	Natur
nekt	Nektar
nestl	Nestle
neut	Neutral
neutro	Neutrogena
neutrog	Neutrogena
nitr	Nitril
noodle	Noodles
norm	Normal
noug	Nougat
nutr	Nutrigold
obit	Obiteljsko
odres	Odresci
odrez	Odrezak
oetk	Oetker
offer	Offertissima
offert	Offertissima
offertis	Offertissima
offertiss	Offertissima
okru	Okrugla
oliva	Olival
olov	Olovka
omeks	Omeksivac
omekš	Omekšivač
omekši	Omekšivač
oran	Orange
orch	Orchid
orhid	Orhideja
orig	Original
origi	Original
origin	Original
osvje	Osvježivač
osvjež	Osvježivač
očiš	Očišćena
očišć	Očišćena
oštr	Oštro
paga	Pagar
pahulj	Pahuljice
pakir	Pakirani
palač	Palačinke
palm	Palmolive
pamp	Pampers
panc	Panceta
pani	Panirani
panir	Panirani
panten	Pantene
papi	Papir
papr	Paprika
papri	Paprika
paprik	Paprika
papuč	Papuče
parfe	Parfem
pari	Parizer
pasir	Pasirana
patr	Patrone
pašt	Pašteta
pašte	Pašteta
peci	Pecivo
peciv	Pecivo
pedig	Pedigree
pepe	Pepeljara
perf	Perfect
perfe	Perfect
perš	Peršin
peče	Pečeni
pečenj	Pečenje
pilet	Piletina
pileti	Piletina
piletin	Piletina
pist	Pistacija
pistac	Pistacija
pistacij	Pistacija
pišt	Pištolj
pjenuš	Pjenušac
plad	Pladanj
plas	Plast
plet	Pletenica
plit	Plitki
pljes	Pljeskavica
pljesk	Pljeskavica
ploc	Plocica
ploči	Pločica
podlož	Podložak
podm	Podmetač
podr	Podravka
podra	Podravka
podrav	Podravka
polj	Polje
polov	Polovice
polub	Polubijeli
polubij	Polubijeli
polut	Polutvrdi
porcul	Porculan
poslas	Poslastica
poslast	Poslastica
posu	Posuda
posud	Posuda
potk	Potkošulja
potrb	Potrbušina
povrć	Povrće
powd	Powder
pral	Praline
prali	Praline
pran	Pranja
praš	Prašak
prel	Preljev
prelj	Preljev
